ﮐﻭﺩ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻭﻻﻳﺕ,ﻭﻟﺳﻭﺍﻟﻲ,ﻧﺎﻡ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﻭﻗﻳﻌﺕ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﺣﻼﺕ ﻣﺭﺩﺍﻧﻪ,ﻣﺣﻼﺕ ﺯﻧﺎﻧﻪ,ﻣﺟﻣﻭﻉ ﻣﺣﻼﺕ
0613343,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﻣﺗﻭﺳﻁﻪ ﻣﮑﺗﺏ ﺳﻳﺩ ﺍﺣﻣﺩﺧﻳﻝ,ﺳﻳﺩ ﺍﺣﻣﺩﺧﻳﻝ,2,1,3
0613344,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ ﻟﻭﻱ ﺟﻭﻣﺎﺕ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ,3,0,3
0613345,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ ﻣﻳﺩﺍﻥ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ,0,2,2
0613517,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﻣﮑﺗﺏ,ﺗﻧךﯽ ﮐﻠﯽ,2,1,3
0614497,ﻧﻧﮕﺭﻫﺎﺭ,יﻭﺷﺗﻪ,ﺟﻭﺍﺭ ﻣﻌﻠﻡ ﻏﻧﻲ ﮐﻭﺭ,ﺧﻭיﺎﺧﻳﻝ,0,2,2
0615519,ﻧﻧﮕﺭﻫﺎﺭ,ﺍﭼﻳﻥ,ﻣﻠﮏ ﮔﻝ ﻣﺣﻣﺩ ﺣﺟﺭﻩ,ﺻﻧﺩﻭﻕ ﮐﻠﯽ,2,1,3
0616422,ﻧﻧﮕﺭﻫﺎﺭ,ﺷﻳﻧﻭﺍﺭ,ﺣﻳﺎﺕ ﺧﺎﻥ ﺟﻭﻣﺎﺕ,ﻭﻳﺎﻟﻪ ٧٢,0,3,3
0616425,ﻧﻧﮕﺭﻫﺎﺭ,ﺷﻳﻧﻭﺍﺭ,ﮐﻧךﺎﻻﻥ ﺟﻭﻣﺎﺕ,ﮐﺗﻳﻠﻲ,0,3,3
0616431,ﻧﻧﮕﺭﻫﺎﺭ,ﺷﻳﻧﻭﺍﺭ,ﷲ ﻣﺣﻣﺩ ﺟﻭﻣﺎﺕ,ﺳﻳﺎﭼﻭﺏ,0,2,2
0616432,ﻧﻧﮕﺭﻫﺎﺭ,ﺷﻳﻧﻭﺍﺭ,ﺳﻳﺎﭼﻭﺏ ﺟﻭﻣﺎﺕ,ﺳﻳﺎﭼﻭﺏ,3,0,3
0617465,ﻧﻧﮕﺭﻫﺎﺭ,ﻣﻬﻣﻧﺩ ﺩﺭﻩ,ﺟﻭﻣﺎﺕ ﮐﻣﻪ ډﮐﻪ,ﮐﻣﻪ ډﮐﻪ,1,2,3
0617475,ﻧﻧﮕﺭﻫﺎﺭ,ﻣﻬﻣﻧﺩ ﺩﺭﻩ,ﻏﺯיﯥ ﺟﻭﻣﺎﺕ,ﻏﺯיس,2,0,2
0617479,ﻧﻧﮕﺭﻫﺎﺭ,ﻣﻬﻣﻧﺩ ﺩﺭﻩ,ﺫﮐﻭﺭ ﻟﻳﺳﻪ ﻻﻧﺩﻱ ﺑﺎﺳﻭﻭﻝ,ﻻﻧﺩﻱ ﺑﺎﺳﻭﻭﻝ,2,0,2
0617480,ﻧﻧﮕﺭﻫﺎﺭ,ﻣﻬﻣﻧﺩ ﺩﺭﻩ,ﺑﺎﺳﻭﻝ ﺍﻧﺎﺙ ﻟﻳﺳﻪ,ﻻﻧﺩﻱ ﺑﺎﺳﻭﻭﻝ,0,2,2
0617481,ﻧﻧﮕﺭﻫﺎﺭ,ﻣﻬﻣﻧﺩ ﺩﺭﻩ,ﺑﻳﻠﯽ ﻟﻳﺳﻪ,ﺑﻳﻠﻪ ﮐﻠﻲ,1,1,2
0617482,ﻧﻧﮕﺭﻫﺎﺭ,ﻣﻬﻣﻧﺩ ﺩﺭﻩ,ﺳﺎיﯽ ﺳﭘﻳﻥ ﺟﻭﻣﺎﺕ,ﺳﺎיس,1,1,2
0618505,ﻧﻧﮕﺭﻫﺎﺭ,ﻟﻌﻝ ﭘﻭﺭ,ﭼﮑﻧﻭﺭ ﻟﻳﺳﻪ,ﭼﮑﻧﻭﺭﮐﻠﻲ,3,2,5
0619238,ﻧﻧﮕﺭﻫﺎﺭ,ﺷﻳﺭﺯﺍﺩ,ﺗﻭ ﺗﻭ ﻟﻳﺳﻪ,ﻟﻘﻣﺎﻥ ﺧﻳﻝ,2,1,3
0620404,ﻧﻧﮕﺭﻫﺎﺭ,ﻧﺎﺯﻳﺎﻥ,ﻣﻭﺭﭼﻝ ﮐﻠﻲ ﻣﻳﺩﺍﻥ,ﻣﻭﺭﭼﻝ ﮐﻠﻲ,0,3,3
0621254,ﻧﻧﮕﺭﻫﺎﺭ,ﺣﺻﺎﺭک,ﻣﺣﻣﺩﻱ ﺟﻭﻣﺎﺕ,ﻣﺣﻣﺩی ﻣﺳﺟﺩ,0,2,2
0621255,ﻧﻧﮕﺭﻫﺎﺭ,ﺣﺻﺎﺭک,ﻅﺭﻳﻑ ﺧﻳﻝ ﻣﮑﺗﺏ,ﻅﺭﻳﻑ ﺧﻳﻝ,0,2,2
0621265,ﻧﻧﮕﺭﻫﺎﺭ,ﺣﺻﺎﺭک,ﺧﺎﻟﻲ ﻣﻳﺩﺍﻥ,ﻓﺭﺯﻳﻧﻪ ﮐﻠﯽ,0,3,3
0701012,ﻟﻐﻣﺎﻥ,ﻣﻬﺗﺭﻻﻡ,ﺩ יﻼﺭﺍﻡ ֢ﻭﻭﻧըﯽ,יﻼﺭﺍﻡ,1,1,2
0701021,ﻟﻐﻣﺎﻥ,ﻣﻬﺗﺭﻻﻡ,ﺩ ﮐﺭﻧﺞ ﺩﮐﻠﻲ ﺟﻭﻣﺎﺕ,ﺩ ﮐﺭﻧﺞ ﮐﻠﯽ,1,1,2
0701029,ﻟﻐﻣﺎﻥ,ﻣﻬﺗﺭﻻﻡ,ﺩﮐﺭﻧﺞ ﺩﮐﻭﭼﻳﺎﻧﻭ ﺟﻭﻣﺎﺕ,ﮐﺭﻧﺞ ﮐﻠﯽ,1,1,2
0704058,ﻟﻐﻣﺎﻥ,ﻋﻠﻳﻧךﺎﺭ,ﺩ ﮐﭼﻭﺭ ֢ﻭﻭﻧըﯽ,ﮐﭼﻭﺭ,2,1,3
0704067,ﻟﻐﻣﺎﻥ,ﻋﻠﻳﻧךﺎﺭ,ﺩﻧﻳﻣﻧﺎﺋﻲ ﺩﮐﻠﻲ ﺟﻭﻣﺎﺕ,ﻧﻳﻣﻧﺎﻳﯽ ﻧﻳﺎﺯی,3,2,5
0704068,ﻟﻐﻣﺎﻥ,ﻋﻠﻳﻧךﺎﺭ,ﺩ ﺷﭔﺧﺎﻧﻭ ﻟﭔﺳﻪ,ﺷﻳﺧﺎﻧﻭ ﮐﻠﯽ,2,2,4
0704069,ﻟﻐﻣﺎﻥ,ﻋﻠﻳﻧךﺎﺭ,ﺩﺍﻻﺟﻳךﺭﭘﻪ ﮐﻠﻲ ﮐﯥ ﭼﺎﺭﺩﭔﻭﺍﺭﻱ,ﺍﻻﺟﻳךﺭ,2,1,3
0704080,ﻟﻐﻣﺎﻥ,ﻋﻠﻳﻧךﺎﺭ,ﺩﻣﻧךﻭ ֢ﻭﻭﻧըﯽ ﺍﻭﺧﭔﻣﻪ,ﻣﻧךﻭ,1,1,2
0704081,ﻟﻐﻣﺎﻥ,ﻋﻠﻳﻧךﺎﺭ,ﺩﮐﻭ ﻠﻲ ﺍﺳﻼﻣﻲ ﻣﺩﺭﺳﮥ,ﮐﻭ ﻠﯽ,1,1,2
0704133,ﻟﻐﻣﺎﻥ,ﻋﻠﻳﻧךﺎﺭ,ﻣﮑﺗﺏ,ﺳﻠﻳﻧﮕﺎﺭ,2,1,3
0705110,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﺩ ﮐﭔﻝ ﺟﻭﻣﺎﺕ,ﮐﻳﻝ,2,0,2
0705111,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﺩ ﻧﻳﻝ ﺧﺎﻥ ﺟﻭﻣﺎﺕ,ﻧﻳﻝ ﺧﺎﻥ,1,1,2
0705112,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﺩ יﻣﻧډﻭک ﺟﻭﻣﺎﺕ,יﻣﻧډﻭک,1,1,2
0705113,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﺩ ﮐﺎﺭﺍک ﺟﻭﻣﺎﺕ,ﮐﺎﺭﺍک,1,2,3
0705114,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﺩ ﭘﻳﺗﮏ ﺟﻭﻣﺎﺕ,ﭘﻳﺗﮏ,2,1,3
0705121,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﺩ ﻣﻭړﺍﻧﺎﻳﻭﺍ ﺩ ﮐﻠﯽ ﺟﻭﻣﺎﺕ,ﻭﻳﺱ ﺳﻳﻣﻪ ﺩﻭﻟﺕ ﺷﺎﻩ,1,1,2
0705122,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﺩ ﺑﺎﻻ ﺩﻩ ﺩ ﮐﻠﻲ ﺟﻭﻣﺎﺕ,ﺑﺎﻻ ﺩﻩ,1,1,2
0705124,ﻟﻐﻣﺎﻥ,ﺩﻭﻟﺕ ﺷﺎﻩ,ﭼﺎﺷﺩﺍﺭ ﻣﮑﺗﺏ,ﭼﺎﺷﺩﺍﺭ,2,1,3
0905072,ﺑﻐﻼﻥ,ﺑﻐﻼﻥ ﺟﺩﻳﺩ,ﻋﻅﻳﻡ ﺷﻭﺭ,ﻗﺭﻳﻪ ﻣﻼ ﻗﺩﻳﺭ,2,1,3
0911171,ﺑﻐﻼﻥ,ﺗﺎﻟﻪ ﻭ ﺑﺭﻓﮏ,ﻣﺳﺟﺩ ﺍﻣﻳﺭ ﻧﺎﺯﻳﻪ,ﺩﻫﻧﻪ ﺭﺷﻘﺂﺏ,1,1,2
0912177,ﺑﻐﻼﻥ,ﭘﻝ ﺣﺻﺎﺭ,ﻣﺳﺟﺩ ﺟﺎﻣﻊ ﺗﻐﺎﻧﮏ,ﺗﻐﺎﻧﮏ,1,1,2
0912178,ﺑﻐﻼﻥ,ﭘﻝ ﺣﺻﺎﺭ,ﻣﺳﺟﺩ ﺩﺭﻳﺷﻭ,ﺩﺭﻳﺷﻭ,1,1,2
1101050,ﻏﺯﻧﻰ,ﻏﺯﻧﯽ,ﻟﻳﺳﻪ ﺳﻳﺩ ﻗﺎﺿﯽ ﻣﻧﮕﻭﺭ,ﻗﺭﻳﻪ ﻣﻧﮕﻭﺭ,0,3,3
1103083,ﻏﺯﻧﻰ,ﺧﻭﺍﺟﻪ ﻋﻣﺭی,ﻣﺳﺟﺩ ﺑﺭﮐﺎﺕ,ﻗﺭﻳﻪ ﺑﺭﮐﺎﺕ,2,0,2
1103084,ﻏﺯﻧﻰ,ﺧﻭﺍﺟﻪ ﻋﻣﺭی,ﻣﺩﺭﺳﻪ ﻋﻠﻭﻡ ﺩﻳﻧﯽ ﺣﺎﺟﯽ ﻣﺳﺗﻔﯽ ﺑﺭﮐﺎﺕ,ﻗﺭﻳﻪ ﺑﺭﮐﺎﺕ,0,2,2
1104125,ﻏﺯﻧﻰ,ﻭﺍﻏﻅ,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺣﺳﻥ ﺧﻳﻝ,ﻗﺭﻳﻪ ﺣﺳﻥ ﺧﻳﻝ,2,1,3
1106114,ﻏﺯﻧﻰ,ﺟﻐﺗﻭ,ﻟﻳﺳﻪ ﻗﻳﺎﻕ,ﺳﻪ ﻗﻠﻌﻪ ﻗﻳﺎﻕ,1,3,4
1107251,ﻏﺯﻧﻰ,ﺍﻧﺩﺭ,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺷﻳﺭ ﻗﻠﻌﻪ,ﻗﺭﻳﻪ ﺷﻳﺭ ﻗﻠﻌﻪ ﭘﻬﻠﻭی ﻗﺭﻳﻪ יﺑﺭی,1,2,3
1111137,ﻏﺯﻧﻰ,ﻗﺭﻩ ﺑﺎﻍ,ﻣﺳﺟﺩ ﺑﻠﻭچ ﺧﻳﻝ,ﻗﺭﻳﻪ ﺑﻠﻭچ ﺧﻳﻝ,0,2,2
1111146,ﻏﺯﻧﻰ,ﻗﺭﻩ ﺑﺎﻍ,ﮐﻠﻳﻧﻳﮏ ﻋﺳﮑﺭ ﮐﻭﺕ,ﺑﺎﺯﺍﺭ ﻋﺳﮑﺭ ﮐﻭټ,4,0,4
1111147,ﻏﺯﻧﻰ,ﻗﺭﻩ ﺑﺎﻍ,ﻣﺳﺟﺩ ﺑﺎﺯﺍﺯ ﻋﺳﮑﺭ ﮐﻭټ,ﺑﺎﺯﺍﺭ ﻋﺳﮑﺭ ﮐﻭټ,0,3,3
1113374,ﻏﺯﻧﻰ,ﺁﺏ ﺑﻧﺩ,ﭘﻬﻠﻭی ﺣﻭﻳﻠﯽ ﻋﺑﺩﷲ ﺧﺎﻥ,ﺑﺎﺩﺍﻡ ﮐﻳﺟﻪ,0,2,2
1201282,ﭘﮑﺗﻳﮑﺎ,ﺷﺭﻥ,ﻏﺭﻭﺍﻝ ﻣﻳﻠﻣﺳﺗﻭﻥ ﺷﺎ ﺗﻪ,ﺷﺭﻧﻪ ﺑﺎﺯﺍﺭ,1,1,2
1211166,ﭘﮑﺗﻳﮑﺎ,ﺍﻭﺭﮔﻭﻥ,ﻣﻠﮏ ﻣﻭﻳﻥ ﻣﻳﻠﻣﺳﺗﻭﻥ ﺗﺭոﻧט,ﻣﻳﺭﺍ ﮔﻝ ﮐﻠﯽ,0,2,2
1211167,ﭘﮑﺗﻳﮑﺎ,ﺍﻭﺭﮔﻭﻥ,ﭼﻳﻧﺎﺧﻭﺍ ﻣﺩﺭﺳﻪ,ﺍﻣﺑﺭﻭﻥ ﮐﻠﯽ,2,0,2
1211177,ﭘﮑﺗﻳﮑﺎ,ﺍﻭﺭﮔﻭﻥ,ﺑﯽ ﺑﯽ ﮐﻭﺕ ﺟﻭﻣﺎﺕ,ﺑﻳﺑﯽ ﮐﻭﺕ ﮐﻠﯽ,2,0,2
1211178,ﭘﮑﺗﻳﮑﺎ,ﺍﻭﺭﮔﻭﻥ,ﻧﻅﻳﺭ ﻣﻳﻠﻣﺳﺗﻭﻥ ﺗﺭոﻧט,ﺑﻳﺑﯽ ﮐﻭﺕ ﮐﻠﯽ,0,2,2
1211183,ﭘﮑﺗﻳﮑﺎ,ﺍﻭﺭﮔﻭﻥ,ﭘﻳﺭﮐﻭﺗﯽ,ﭙﻳﺭﮐﻭﺗﯽ ﮐﻠﯽ,3,0,3
1211184,ﭘﮑﺗﻳﮑﺎ,ﺍﻭﺭﮔﻭﻥ,ﻅﺭﻳﻑ ﻣﻳﻠﻣﺳﺗﻭﻥ ﺗﺭոﻧט,ﭙﻳﺭﮐﻭﺗﯽ ﮐﻠﯽ,0,2,2
1214263,ﭘﮑﺗﻳﮑﺎ,ﺑﺭﻣﻝ,ﭘﻬﻠﻭی ﺩﻭﮐﺎﻥ ﺍﺣﻣﺩ יﺎﺗﯽ,יﺎﺗﯽ,4,0,4
1214264,ﭘﮑﺗﻳﮑﺎ,ﺑﺭﻣﻝ,ﻣﺧﻔﻳﺭﻭﷲ ﻣﻳﻠﻣﺳﺗﻭﻥ ﺷﺎﺗﻪ,ﺳﻳﺭﺩﺍګ,0,2,2
1214265,ﭘﮑﺗﻳﮑﺎ,ﺑﺭﻣﻝ,ﻣﺳﺟﺩ ﺑﺎډﺭ ﺍﺣﻣﺩﺯی,ﺍﺗﯽ ﮐﻠﯽ,2,2,4
1214266,ﭘﮑﺗﻳﮑﺎ,ﺑﺭﻣﻝ,ﻣﺳﺟﺩ ﺑﺎډﺭ ﺍﺣﻣﺩﺯی,ﺍﺣﻣﺩ ﺯی ﻣﺩﺭﺳﻪ,2,2,4
1303081,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﺩ ﺷﺎﮔﻭﻡ ﺑﺎﻻﻩ ﻣﺩﺭﺳﻪ,ﻫﻳﺑﺕ ﺧﻳﻝ,2,0,2
1303082,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﻣﺳﺟﺩ ﻫﻳﺑﺕ ﺧﻳﻝ,ﻫﻳﺑﺕ ﺧﻳﻝ,0,2,2
1303083,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﺷﻣﻭﻝ ﺯﺍی ﻣﺩﺭﺳﻪ,ﺷﻣﻭﻝ ﺯﺍی ﺳﻬﺎک,2,0,2
1303084,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﮐﻠﻳﻧﻳﮏ ﺳﻬﺎک,ﺳﻬﺎک,0,2,2
1303085,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﺳﻬﺎک ﻟﻳﺳﻪ,ﺳﻬﺎک,2,0,2
1303086,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﺩ ﺍﺗﺎ ﮔﻝ ﻣﺳﺟﺩ,ﺳﻬﺎک,0,2,2
1303090,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﮐﻭﺗﯽ ﺧﻳﻝ ﻣﮑﺗﺏ,ﮐﻭﺗﯽ ﺧﻳﻝ,2,1,3
1303091,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﺩ ﺩﻭﻟﺕ ﺯﻭﻳﻭ ﻟﻳﺳﻪ,ﻣﮑﺎﻭﻩ ﺩﻭﻟﺕ ﺯﺍی,1,1,2
1303101,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﺷﺎﻫﯽ ﮐﻭﺕ ﻣﮑﺗﺏ,ﺍﺭﻣﻪ ﺷﺎﻫﯽ ﮐﻭﺕ,1,1,2
1303102,ﭘﮑﺗﻳﺎ,ﺯﺭﻣﺕ,ﻭﻟﺳﻭﺍﻟﯽ ﻣﺭﮐﺯ ﺍﺭﻣﻪ,ﺍﺭﻣﻪ,1,1,2
1306036,ﭘﮑﺗﻳﺎ,ﺳﻳﺩ ﮐﺭﻡ,ډﻡ ﻣﻧﮕﻝ ﻣﺩﺭﺳﻪ,ډﻡ ﻣﻧﮕﻝ,2,0,2
1306037,ﭘﮑﺗﻳﺎ,ﺳﻳﺩ ﮐﺭﻡ,ﺩ ﻧﻳﮏ ﻣﺣﻣﺩ ﻫﺟﺭﻩ,ډﻡ ﻣﻧﮕﻝ,0,2,2
1504036,ﮐﻧړ,ﻧﺭﻧט,ﻣﺳﺟﺩ ﻗﺭﻳﻪ,ﻗﻼﻭﻧﻪ,2,1,3
1512052,ﮐﻧړ,ﺩﺍﻧךﺎﻡ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ,ﺩﺍﻳﺭی,2,2,4
1513082,ﮐﻧړ,ﭼﭘﻪ ﺩﺭﻩ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ,ﻣﻭﺭﭼﻝ,3,1,4
1706112,ﺑﺩﺧﺷﺎﻥ,ﺑﻬﺎﺭک,ﻣﮑﺗﺏ ﻋﻠﯽ ﻣﻐﻝ,ﻋﻠﯽ ﻣﻐﻝ,1,1,2
1709297,ﺑﺩﺧﺷﺎﻥ,ﻳﺎﻭﺍﻥ,ﻣﮑﺗﺏ ﺭﻳﻣﺎﻥ,ﺭﻳﻣﺎﻥ,2,1,3
1710080,ﺑﺩﺧﺷﺎﻥ,ﺟﺭﻡ,ﻟﻳﺳﻪ ﻓﺭﻏﺎ ﻣﻳﺭﻭ,ﻓﺭﻏﺎ ﻣﻳﺭﻭ,1,1,2
1710081,ﺑﺩﺧﺷﺎﻥ,ﺟﺭﻡ,ﻟﻳﺳﻪ ﻓﺭﻏﺎﻣﻧﺞ,ﻓﺭﻏﺎﻣﻧﺞ,2,1,3
1710083,ﺑﺩﺧﺷﺎﻥ,ﺟﺭﻡ,ﻣﮑﺗﺏ ﺍﺳﮑﺎﻥ,ﺍﺳﮑﺎﻥ,1,1,2
1717173,ﺑﺩﺧﺷﺎﻥ,ﺗﮕﺎﺏ,ﻣﺳﺟﺩ ﺩﻭ ﺁﺑﯽ,ﺩﻭ ﺁﺑﯽ,1,1,2
1717175,ﺑﺩﺧﺷﺎﻥ,ﺗﮕﺎﺏ,ﻣﺳﺟﺩ ﻫﻧﮕﺭﺍﻥ,ﻫﻧﮕﺭﺍﻥ,1,1,2
1717176,ﺑﺩﺧﺷﺎﻥ,ﺗﮕﺎﺏ,ﻣﮑﺗﺏ ﺁﺳﻳﺎﺑﮏ,ﺁﺳﻳﺎﺑﮏ,1,1,2
1718253,ﺑﺩﺧﺷﺎﻥ,ﻳﻣﮕﺎﻥ,ﻣﮑﺗﺏ ﭼﻬﺎﺭ ﻣﻐﺯﺳﺗﺎﻥ,ﭼﻬﺎﺭ ﻣﻐﺯﺳﺗﺎﻥ,2,1,3
1718260,ﺑﺩﺧﺷﺎﻥ,ﻳﻣﮕﺎﻥ,ﻣﮑﺗﺏ ﺁﺏ ﺍﺷﻧﺎﻡ,ﺳﻧﺎﻭﺭی,2,1,3
1718313,ﺑﺩﺧﺷﺎﻥ,ﻳﻣﮕﺎﻥ,ﻣﺗﻭﺳﻁﻪ ﻧﺳﻭﺍﻥ ﺁﻭﻍ,ﺁﻭﺭﻍ,2,1,3
1901037,ﮐﻧﺩﺯ,ﮐﻧﺩﺯ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﮐﻧﻡ ﮐﻼﻥ,ﮐﻧﻡ ﮐﻼﻥ,3,1,4
1901051,ﮐﻧﺩﺯ,ﮐﻧﺩﺯ,ﻣﮑﺗﺏ ﻣﺗﻭﺳﻁﻪ ﻋﺑﺩﺍﻟﻪ ﺷﻬﻳﺩ,ﻋﺳﻘﻼﻥ,2,1,3
1901196,ﮐﻧﺩﺯ,ﮐﻧﺩﺯ,ﻟﻳﺳﻪ ﮐﻧﻡ ﺳﺎﺩﺍﺕ,ﮐﻧﻡ ﺧﻭﺭﺩ,2,1,3
1902121,ﮐﻧﺩﺯ,ﭼﺎﺭﺩﺭﻩ,ﻣﮑﺗﺏ ﻣﺎﻣﺎﺧﻳﻝ,ﻣﺎﻣﺎﺧﻳﻝ,1,1,2
1902124,ﮐﻧﺩﺯ,ﭼﺎﺭﺩﺭﻩ,ﺳﺎﺣﻪ ﺁﺯﺍﺩ ﺿﺩﺭﺍﻥ,ﺿﺩﺭﺍﻥ,1,1,2
1902127,ﮐﻧﺩﺯ,ﭼﺎﺭﺩﺭﻩ,ﻣﮑﺗﺏ ﻧﻭﺁﺑﺎﺩ,ﻧﻭﺁﺑﺎﺩ,4,2,6
1904157,ﮐﻧﺩﺯ,ﺧﺎﻥ ﺁﺑﺎﺩ,ﻣﮑﺗﺏ ﺯﺭﺩ ﮐﻣﺭ,ﺯﺭﺩ ﮐﻣﺭ,1,1,2
1906186,ﮐﻧﺩﺯ,ﺩﺷﺕ ﺍﺭﭼﯽ,ﻣﺳﺟﺩ ﻋﺎﺑﺩی,ﻗﺭﻳﻪ ﻋﺎﺑﺩی,2,1,3
1906191,ﮐﻧﺩﺯ,ﺩﺷﺕ ﺍﺭﭼﯽ,ﻣﮑﺗﺏ ﺷﻬﻳﺩ ﻋﺑﺩﺍﻟﻭﺍﺣﺩ,ﻗﺭﻳﻪ ﺣﺎﺟﯽ ﻏﻔﻭﺭ,1,1,2
1906192,ﮐﻧﺩﺯ,ﺩﺷﺕ ﺍﺭﭼﯽ,ﻣﺳﺟﺩ ﺣﺎﺟﯽ ﭘﺎﻳﻧﺩﻩ,ﻗﺭﻳﻪ ﺩﺍﻭﻳﺎﻥ,1,1,2
