 ﺕﻼﺣﻣ ﻉﻭﻣﺟﻣ ,ﻪﻧﺎﻧﺯ ﺕﻼﺣﻣ   ,  ﻪﻧﺍﺩﺭﻣ ﺕﻼﺣﻣ  ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺕﻌﻳﻗﻭﻣ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,ﻲﻟﺍﻭﺳﻟﻭ,ﺕﻳﻻﻭ,  ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺩﻭﮐ 
3,1,2,ﻝﻳﺧﺩﻣﺣﺍ ﺩﻳﺳ,ﻝﻳﺧﺩﻣﺣﺍ ﺩﻳﺳ ﺏﺗﮑﻣ ﻪﻁﺳﻭﺗﻣ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613343
3,0,3,ﯥﻠﮐ ﻲﻧﺍﻭﺩ, ﺕﺎﻣﻭﺟ ﻱﻭﻟ ﯥﻠﮐ ﻲﻧﺍﻭﺩ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613344
2,2,0,ﯥﻠﮐ ﻲﻧﺍﻭﺩ,ﻥﺍﺩﻳﻣ ﯥﻠﮐ ﻲﻧﺍﻭﺩ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613345
3,1,2,ﯽﻠﮐ ﯽךﻧﺗ,ﺏﺗﮑﻣ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613517
2,2,0,ﻝﻳﺧﺎיﻭﺧ,ﺭﻭﮐ ﻲﻧﻏ ﻡﻠﻌﻣ ﺭﺍﻭﺟ,ﻪﺗﺷﻭי,ﺭﺎﻫﺭﮕﻧﻧ,0614497
3,1,2,ﯽﻠﮐ ﻕﻭﺩﻧﺻ,ﻩﺭﺟﺣ ﺩﻣﺣﻣ ﻝﮔ ﮏﻠﻣ,ﻥﻳﭼﺍ,ﺭﺎﻫﺭﮕﻧﻧ,0615519
3,3,0, ٢٧ ﻪﻟﺎﻳﻭ,ﺕﺎﻣﻭﺟ ﻥﺎﺧ ﺕﺎﻳﺣ,ﺭﺍﻭﻧﻳﺷ,ﺭﺎﻫﺭﮕﻧﻧ,0616422
3,3,0,ﻲﻠﻳﺗﮐ,ﺕﺎﻣﻭﺟ ﻥﻻﺎךﻧﮐ,ﺭﺍﻭﻧﻳﺷ,ﺭﺎﻫﺭﮕﻧﻧ,0616425
2,2,0,ﺏﻭﭼﺎﻳﺳ,ﺕﺎﻣﻭﺟ ﺩﻣﺣﻣ ﷲ,ﺭﺍﻭﻧﻳﺷ,ﺭﺎﻫﺭﮕﻧﻧ,0616431
3,0,3,ﺏﻭﭼﺎﻳﺳ,ﺕﺎﻣﻭﺟ ﺏﻭﭼﺎﻳﺳ,ﺭﺍﻭﻧﻳﺷ,ﺭﺎﻫﺭﮕﻧﻧ,0616432
3,2,1,ﻪﮐډ ﻪﻣﮐ,ﻪﮐډ ﻪﻣﮐ ﺕﺎﻣﻭﺟ,ﻩﺭﺩ ﺩﻧﻣﻬﻣ,ﺭﺎﻫﺭﮕﻧﻧ,0617465
2,0,2,سיﺯﻏ,ﺕﺎﻣﻭﺟ ﯥיﺯﻏ,ﻩﺭﺩ ﺩﻧﻣﻬﻣ,ﺭﺎﻫﺭﮕﻧﻧ,0617475
2,0,2,ﻝﻭﻭﺳﺎﺑ ﻱﺩﻧﻻ,ﻝﻭﻭﺳﺎﺑ ﻱﺩﻧﻻ ﻪﺳﻳﻟ ﺭﻭﮐﺫ,ﻩﺭﺩ ﺩﻧﻣﻬﻣ,ﺭﺎﻫﺭﮕﻧﻧ,0617479
2,2,0,ﻝﻭﻭﺳﺎﺑ ﻱﺩﻧﻻ,ﻪﺳﻳﻟ ﺙﺎﻧﺍ ﻝﻭﺳﺎﺑ,ﻩﺭﺩ ﺩﻧﻣﻬﻣ,ﺭﺎﻫﺭﮕﻧﻧ,0617480
2,1,1,ﻲﻠﮐ ﻪﻠﻳﺑ,ﻪﺳﻳﻟ ﯽﻠﻳﺑ,ﻩﺭﺩ ﺩﻧﻣﻬﻣ,ﺭﺎﻫﺭﮕﻧﻧ,0617481
2,1,1,سיﺎﺳ,ﺕﺎﻣﻭﺟ ﻥﻳﭘﺳ ﯽיﺎﺳ,ﻩﺭﺩ ﺩﻧﻣﻬﻣ,ﺭﺎﻫﺭﮕﻧﻧ,0617482
5,2,3,ﻲﻠﮐﺭﻭﻧﮑﭼ, ﻪﺳﻳﻟ ﺭﻭﻧﮑﭼ,ﺭﻭﭘ ﻝﻌﻟ,ﺭﺎﻫﺭﮕﻧﻧ,0618505
3,1,2,ﻝﻳﺧ ﻥﺎﻣﻘﻟ,ﻪﺳﻳﻟ ﻭﺗ ﻭﺗ,ﺩﺍﺯﺭﻳﺷ,ﺭﺎﻫﺭﮕﻧﻧ,0619238
3,3,0,ﻲﻠﮐ ﻝﭼﺭﻭﻣ,  ﻥﺍﺩﻳﻣ ﻲﻠﮐ ﻝﭼﺭﻭﻣ,ﻥﺎﻳﺯﺎﻧ,ﺭﺎﻫﺭﮕﻧﻧ,0620404
2,2,0,ﺩﺟﺳﻣ یﺩﻣﺣﻣ,ﺕﺎﻣﻭﺟ ﻱﺩﻣﺣﻣ,کﺭﺎﺻﺣ,ﺭﺎﻫﺭﮕﻧﻧ,0621254
2,2,0,ﻝﻳﺧ ﻑﻳﺭﻅ,ﺏﺗﮑﻣ ﻝﻳﺧ ﻑﻳﺭﻅ,کﺭﺎﺻﺣ,ﺭﺎﻫﺭﮕﻧﻧ,0621255
3,3,0,ﯽﻠﮐ ﻪﻧﻳﺯﺭﻓ,ﻥﺍﺩﻳﻣ ﻲﻟﺎﺧ,کﺭﺎﺻﺣ,ﺭﺎﻫﺭﮕﻧﻧ,0621265
2,1,1,ﻡﺍﺭﻼי,ﯽըﻧﻭﻭ֢ ﻡﺍﺭﻼי ﺩ,ﻡﻻﺭﺗﻬﻣ,ﻥﺎﻣﻐﻟ,0701012
2,1,1, ﯽﻠﮐ ﺞﻧﺭﮐ ﺩ,ﺕﺎﻣﻭﺟ ﻲﻠﮐﺩ ﺞﻧﺭﮐ ﺩ,ﻡﻻﺭﺗﻬﻣ,ﻥﺎﻣﻐﻟ,0701021
2,1,1,ﯽﻠﮐ ﺞﻧﺭﮐ,ﺕﺎﻣﻭﺟ ﻭﻧﺎﻳﭼﻭﮐﺩ ﺞﻧﺭﮐﺩ,ﻡﻻﺭﺗﻬﻣ,ﻥﺎﻣﻐﻟ,0701029
3,1,2,ﺭﻭﭼﮐ, ﯽըﻧﻭﻭ֢ ﺭﻭﭼﮐ ﺩ,ﺭﺎךﻧﻳﻠﻋ,ﻥﺎﻣﻐﻟ,0704058
5,2,3,یﺯﺎﻳﻧ ﯽﻳﺎﻧﻣﻳﻧ,ﺕﺎﻣﻭﺟ ﻲﻠﮐﺩ ﻲﺋﺎﻧﻣﻳﻧﺩ,ﺭﺎךﻧﻳﻠﻋ,ﻥﺎﻣﻐﻟ,0704067
4,2,2,ﯽﻠﮐ ﻭﻧﺎﺧﻳﺷ, ﻪﺳﭔﻟ ﻭﻧﺎﺧﭔﺷ ﺩ,ﺭﺎךﻧﻳﻠﻋ,ﻥﺎﻣﻐﻟ,0704068
3,1,2,ﺭךﻳﺟﻻﺍ,ﻱﺭﺍﻭﭔﺩﺭﺎﭼ ﯥﮐ ﻲﻠﮐ ﻪﭘﺭךﻳﺟﻻﺍﺩ,ﺭﺎךﻧﻳﻠﻋ,ﻥﺎﻣﻐﻟ,0704069
2,1,1,ﻭךﻧﻣ,ﻪﻣﭔﺧﻭﺍ ﯽըﻧﻭﻭ֢ ﻭךﻧﻣﺩ,ﺭﺎךﻧﻳﻠﻋ,ﻥﺎﻣﻐﻟ,0704080
2,1,1,ﯽﻠ ﻭﮐ,ﮥﺳﺭﺩﻣ ﻲﻣﻼﺳﺍ ﻲﻠ ﻭﮐﺩ,ﺭﺎךﻧﻳﻠﻋ,ﻥﺎﻣﻐﻟ,0704081
3,1,2,ﺭﺎﮕﻧﻳﻠﺳ,ﺏﺗﮑﻣ ,ﺭﺎךﻧﻳﻠﻋ,ﻥﺎﻣﻐﻟ,0704133
2,0,2,ﻝﻳﮐ, ﺕﺎﻣﻭﺟ ﻝﭔﮐ ﺩ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705110
2,1,1,ﻥﺎﺧ ﻝﻳﻧ, ﺕﺎﻣﻭﺟ ﻥﺎﺧ ﻝﻳﻧ ﺩ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705111
2,1,1,کﻭډﻧﻣי, ﺕﺎﻣﻭﺟ کﻭډﻧﻣי ﺩ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705112
3,2,1,کﺍﺭﺎﮐ, ﺕﺎﻣﻭﺟ کﺍﺭﺎﮐ ﺩ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705113
3,1,2,ﮏﺗﻳﭘ, ﺕﺎﻣﻭﺟ ﮏﺗﻳﭘ ﺩ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705114
2,1,1,ﻩﺎﺷ ﺕﻟﻭﺩ ﻪﻣﻳﺳ ﺱﻳﻭ, ﺕﺎﻣﻭﺟ ﯽﻠﮐ ﺩ ﺍﻭﻳﺎﻧﺍړﻭﻣ ﺩ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705121
2,1,1, ﻩﺩ ﻻﺎﺑ, ﺕﺎﻣﻭﺟ ﻲﻠﮐ ﺩ ﻩﺩ ﻻﺎﺑ ﺩ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705122
3,1,2,ﺭﺍﺩﺷﺎﭼ,ﺏﺗﮑﻣ ﺭﺍﺩﺷﺎﭼ,ﻩﺎﺷ ﺕﻟﻭﺩ,ﻥﺎﻣﻐﻟ,0705124
3,1,2,ﺭﻳﺩﻗ ﻼﻣ ﻪﻳﺭﻗ,ﺭﻭﺷ ﻡﻳﻅﻋ,ﺩﻳﺩﺟ ﻥﻼﻐﺑ,ﻥﻼﻐﺑ,0905072
2,1,1,ﺏﺂﻘﺷﺭ ﻪﻧﻫﺩ,ﻪﻳﺯﺎﻧ ﺭﻳﻣﺍ ﺩﺟﺳﻣ,ﮏﻓﺭﺑ ﻭ ﻪﻟﺎﺗ,ﻥﻼﻐﺑ,0911171
2,1,1,ﮏﻧﺎﻐﺗ,ﮏﻧﺎﻐﺗ ﻊﻣﺎﺟ ﺩﺟﺳﻣ,ﺭﺎﺻﺣ ﻝﭘ,ﻥﻼﻐﺑ,0912177
2,1,1,ﻭﺷﻳﺭﺩ,ﻭﺷﻳﺭﺩ ﺩﺟﺳﻣ,ﺭﺎﺻﺣ ﻝﭘ,ﻥﻼﻐﺑ,0912178
3,3,0, ﺭﻭﮕﻧﻣ ﻪﻳﺭﻗ,ﺭﻭﮕﻧﻣ ﯽﺿﺎﻗ ﺩﻳﺳ ﻪﺳﻳﻟ,ﯽﻧﺯﻏ,ﻰﻧﺯﻏ,1101050
2,0,2, ﺕﺎﮐﺭﺑ ﻪﻳﺭﻗ,ﺕﺎﮐﺭﺑ ﺩﺟﺳﻣ,یﺭﻣﻋ ﻪﺟﺍﻭﺧ,ﻰﻧﺯﻏ,1103083
2,2,0, ﺕﺎﮐﺭﺑ ﻪﻳﺭﻗ,ﺕﺎﮐﺭﺑ ﯽﻔﺗﺳﻣ ﯽﺟﺎﺣ ﯽﻧﻳﺩ ﻡﻭﻠﻋ ﻪﺳﺭﺩﻣ,یﺭﻣﻋ ﻪﺟﺍﻭﺧ,ﻰﻧﺯﻏ,1103084
3,1,2,  ﻝﻳﺧ ﻥﺳﺣ ﻪﻳﺭﻗ,ﻝﻳﺧ ﻥﺳﺣ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,ﻅﻏﺍﻭ,ﻰﻧﺯﻏ,1104125
4,3,1,ﻕﺎﻳﻗ ﻪﻌﻠﻗ ﻪﺳ,ﻕﺎﻳﻗ ﻪﺳﻳﻟ,ﻭﺗﻐﺟ,ﻰﻧﺯﻏ,1106114
3,2,1, یﺭﺑי ﻪﻳﺭﻗ یﻭﻠﻬﭘ ﻪﻌﻠﻗ ﺭﻳﺷ ﻪﻳﺭﻗ, ﻪﻌﻠﻗ ﺭﻳﺷ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,ﺭﺩﻧﺍ,ﻰﻧﺯﻏ,1107251
2,2,0, ﻝﻳﺧ چﻭﻠﺑ ﻪﻳﺭﻗ,ﻝﻳﺧ چﻭﻠﺑ ﺩﺟﺳﻣ,ﻍﺎﺑ ﻩﺭﻗ,ﻰﻧﺯﻏ,1111137
4,0,4,ټﻭﮐ ﺭﮑﺳﻋ ﺭﺍﺯﺎﺑ,ﺕﻭﮐ ﺭﮑﺳﻋ ﮏﻳﻧﻳﻠﮐ,ﻍﺎﺑ ﻩﺭﻗ,ﻰﻧﺯﻏ,1111146
3,3,0,ټﻭﮐ ﺭﮑﺳﻋ ﺭﺍﺯﺎﺑ,ټﻭﮐ ﺭﮑﺳﻋ ﺯﺍﺯﺎﺑ ﺩﺟﺳﻣ,ﻍﺎﺑ ﻩﺭﻗ,ﻰﻧﺯﻏ,1111147
2,2,0,ﻪﺟﻳﮐ ﻡﺍﺩﺎﺑ ,ﻥﺎﺧ ﷲﺩﺑﻋ ﯽﻠﻳﻭﺣ یﻭﻠﻬﭘ,ﺩﻧﺑ ﺏﺁ,ﻰﻧﺯﻏ,1113374
2,1,1,ﺭﺍﺯﺎﺑ ﻪﻧﺭﺷ,ﻪﺗ ﺎﺷ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﺍﻭﺭﻏ,ﻥﺭﺷ,ﺎﮑﻳﺗﮑﭘ,1201282
2,2,0,ﯽﻠﮐ ﻝﮔ ﺍﺭﻳﻣ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻥﻳﻭﻣ ﮏﻠﻣ,ﻥﻭﮔﺭﻭﺍ,ﺎﮑﻳﺗﮑﭘ,1211166
2,0,2,ﯽﻠﮐ ﻥﻭﺭﺑﻣﺍ,ﻪﺳﺭﺩﻣ ﺍﻭﺧﺎﻧﻳﭼ,ﻥﻭﮔﺭﻭﺍ,ﺎﮑﻳﺗﮑﭘ,1211167
2,0,2,ﯽﻠﮐ ﺕﻭﮐ ﯽﺑﻳﺑ,ﺕﺎﻣﻭﺟ ﺕﻭﮐ ﯽﺑ ﯽﺑ,ﻥﻭﮔﺭﻭﺍ,ﺎﮑﻳﺗﮑﭘ,1211177
2,2,0,ﯽﻠﮐ ﺕﻭﮐ ﯽﺑﻳﺑ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﻳﻅﻧ,ﻥﻭﮔﺭﻭﺍ,ﺎﮑﻳﺗﮑﭘ,1211178
3,0,3,ﯽﻠﮐ ﯽﺗﻭﮐﺭﻳﭙ,ﯽﺗﻭﮐﺭﻳﭘ,ﻥﻭﮔﺭﻭﺍ,ﺎﮑﻳﺗﮑﭘ,1211183
2,2,0,ﯽﻠﮐ ﯽﺗﻭﮐﺭﻳﭙ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻑﻳﺭﻅ,ﻥﻭﮔﺭﻭﺍ,ﺎﮑﻳﺗﮑﭘ,1211184
4,0,4,ﯽﺗﺎי,ﯽﺗﺎי ﺩﻣﺣﺍ ﻥﺎﮐﻭﺩ یﻭﻠﻬﭘ,ﻝﻣﺭﺑ,ﺎﮑﻳﺗﮑﭘ,1214263
2,2,0,ګﺍﺩﺭﻳﺳ,ﻪﺗﺎﺷ ﻥﻭﺗﺳﻣﻠﻳﻣ ﷲﻭﺭﻳﻔﺧﻣ,ﻝﻣﺭﺑ,ﺎﮑﻳﺗﮑﭘ,1214264
4,2,2,ﯽﻠﮐ ﯽﺗﺍ,یﺯﺩﻣﺣﺍ ﺭډﺎﺑ ﺩﺟﺳﻣ,ﻝﻣﺭﺑ,ﺎﮑﻳﺗﮑﭘ,1214265
4,2,2,ﻪﺳﺭﺩﻣ یﺯ ﺩﻣﺣﺍ,یﺯﺩﻣﺣﺍ ﺭډﺎﺑ ﺩﺟﺳﻣ,ﻝﻣﺭﺑ,ﺎﮑﻳﺗﮑﭘ,1214266
2,0,2,ﻝﻳﺧ ﺕﺑﻳﻫ,ﻪﺳﺭﺩﻣ ﻩﻻﺎﺑ ﻡﻭﮔﺎﺷ ﺩ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303081
2,2,0,ﻝﻳﺧ ﺕﺑﻳﻫ,ﻝﻳﺧ ﺕﺑﻳﻫ ﺩﺟﺳﻣ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303082
2,0,2, کﺎﻬﺳ یﺍﺯ ﻝﻭﻣﺷ,ﻪﺳﺭﺩﻣ یﺍﺯ ﻝﻭﻣﺷ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303083
2,2,0,کﺎﻬﺳ,کﺎﻬﺳ ﮏﻳﻧﻳﻠﮐ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303084
2,0,2,کﺎﻬﺳ, ﻪﺳﻳﻟ کﺎﻬﺳ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303085
2,2,0,کﺎﻬﺳ,ﺩﺟﺳﻣ ﻝﮔ ﺎﺗﺍ ﺩ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303086
3,1,2,ﻝﻳﺧ ﯽﺗﻭﮐ,ﺏﺗﮑﻣ ﻝﻳﺧ ﯽﺗﻭﮐ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303090
2,1,1,یﺍﺯ ﺕﻟﻭﺩ ﻩﻭﺎﮑﻣ ,ﻪﺳﻳﻟ ﻭﻳﻭﺯ ﺕﻟﻭﺩ ﺩ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303091
2,1,1,ﺕﻭﮐ ﯽﻫﺎﺷ ﻪﻣﺭﺍ,ﺏﺗﮑﻣ ﺕﻭﮐ ﯽﻫﺎﺷ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303101
2,1,1,ﻪﻣﺭﺍ,ﻪﻣﺭﺍ ﺯﮐﺭﻣ ﯽﻟﺍﻭﺳﻟﻭ,ﺕﻣﺭﺯ,ﺎﻳﺗﮑﭘ,1303102
2,0,2, ﻝﮕﻧﻣ ﻡډ ,ﻪﺳﺭﺩﻣ ﻝﮕﻧﻣ ﻡډ,ﻡﺭﮐ ﺩﻳﺳ,ﺎﻳﺗﮑﭘ,1306036
2,2,0, ﻝﮕﻧﻣ ﻡډ ,ﻩﺭﺟﻫ ﺩﻣﺣﻣ ﮏﻳﻧ ﺩ,ﻡﺭﮐ ﺩﻳﺳ,ﺎﻳﺗﮑﭘ,1306037
3,1,2, ﻪﻧﻭﻼﻗ,ﻪﻳﺭﻗ ﺩﺟﺳﻣ,טﻧﺭﻧ, ړﻧﮐ,1504036
4,2,2,یﺭﻳﺍﺩ,ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,ﻡﺎךﻧﺍﺩ, ړﻧﮐ,1512052
4,1,3,ﻝﭼﺭﻭﻣ,ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,ﻩﺭﺩ ﻪﭘﭼ, ړﻧﮐ,1513082
2,1,1,ﻝﻐﻣ ﯽﻠﻋ,ﻝﻐﻣ ﯽﻠﻋ ﺏﺗﮑﻣ,کﺭﺎﻬﺑ,ﻥﺎﺷﺧﺩﺑ,1706112
3,1,2,ﻥﺎﻣﻳﺭ,ﻥﺎﻣﻳﺭ ﺏﺗﮑﻣ,ﻥﺍﻭﺎﻳ,ﻥﺎﺷﺧﺩﺑ,1709297
2,1,1,ﻭﺭﻳﻣ ﺎﻏﺭﻓ, ﻭﺭﻳﻣ ﺎﻏﺭﻓ ﻪﺳﻳﻟ,ﻡﺭﺟ,ﻥﺎﺷﺧﺩﺑ,1710080
3,1,2, ﺞﻧﻣﺎﻏﺭﻓ, ﺞﻧﻣﺎﻏﺭﻓ ﻪﺳﻳﻟ,ﻡﺭﺟ,ﻥﺎﺷﺧﺩﺑ,1710081
2,1,1,ﻥﺎﮑﺳﺍ, ﻥﺎﮑﺳﺍ ﺏﺗﮑﻣ,ﻡﺭﺟ,ﻥﺎﺷﺧﺩﺑ,1710083
2,1,1,ﯽﺑﺁ ﻭﺩ, ﯽﺑﺁ ﻭﺩ ﺩﺟﺳﻣ,ﺏﺎﮕﺗ,ﻥﺎﺷﺧﺩﺑ,1717173
2,1,1,ﻥﺍﺭﮕﻧﻫ, ﻥﺍﺭﮕﻧﻫ ﺩﺟﺳﻣ,ﺏﺎﮕﺗ,ﻥﺎﺷﺧﺩﺑ,1717175
2,1,1,ﮏﺑﺎﻳﺳﺁ, ﮏﺑﺎﻳﺳﺁ ﺏﺗﮑﻣ,ﺏﺎﮕﺗ,ﻥﺎﺷﺧﺩﺑ,1717176
3,1,2,ﻥﺎﺗﺳﺯﻐﻣ ﺭﺎﻬﭼ, ﻥﺎﺗﺳﺯﻐﻣ ﺭﺎﻬﭼ ﺏﺗﮑﻣ,ﻥﺎﮕﻣﻳ,ﻥﺎﺷﺧﺩﺑ,1718253
3,1,2, یﺭﻭﺎﻧﺳ, ﻡﺎﻧﺷﺍ ﺏﺁ ﺏﺗﮑﻣ,ﻥﺎﮕﻣﻳ,ﻥﺎﺷﺧﺩﺑ,1718260
3,1,2,ﻍﺭﻭﺁ,ﻍﻭﺁ ﻥﺍﻭﺳﻧ ﻪﻁﺳﻭﺗﻣ,ﻥﺎﮕﻣﻳ,ﻥﺎﺷﺧﺩﺑ,1718313
4,1,3,ﻥﻼﮐ ﻡﻧﮐ,ﻥﻼﮐ ﻡﻧﮐ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,ﺯﺩﻧﮐ,ﺯﺩﻧﮐ,1901037
3,1,2,ﻥﻼﻘﺳﻋ,ﺩﻳﻬﺷ ﻪﻟﺍﺩﺑﻋ ﻪﻁﺳﻭﺗﻣ ﺏﺗﮑﻣ,ﺯﺩﻧﮐ,ﺯﺩﻧﮐ,1901051
3,1,2,ﺩﺭﻭﺧ ﻡﻧﮐ,ﺕﺍﺩﺎﺳ ﻡﻧﮐ ﻪﺳﻳﻟ,ﺯﺩﻧﮐ,ﺯﺩﻧﮐ,1901196
2,1,1,ﻝﻳﺧﺎﻣﺎﻣ,ﻝﻳﺧﺎﻣﺎﻣ ﺏﺗﮑﻣ,ﻩﺭﺩﺭﺎﭼ,ﺯﺩﻧﮐ,1902121
2,1,1,ﻥﺍﺭﺩﺿ,ﻥﺍﺭﺩﺿ ﺩﺍﺯﺁ ﻪﺣﺎﺳ,ﻩﺭﺩﺭﺎﭼ,ﺯﺩﻧﮐ,1902124
6,2,4,ﺩﺎﺑﺁﻭﻧ,ﺩﺎﺑﺁﻭﻧ ﺏﺗﮑﻣ,ﻩﺭﺩﺭﺎﭼ,ﺯﺩﻧﮐ,1902127
2,1,1,ﺭﻣﮐ ﺩﺭﺯ,ﺭﻣﮐ ﺩﺭﺯ ﺏﺗﮑﻣ,ﺩﺎﺑﺁ ﻥﺎﺧ,ﺯﺩﻧﮐ,1904157
3,1,2,یﺩﺑﺎﻋ ﻪﻳﺭﻗ,یﺩﺑﺎﻋ ﺩﺟﺳﻣ,ﯽﭼﺭﺍ ﺕﺷﺩ,ﺯﺩﻧﮐ,1906186
2,1,1,ﺭﻭﻔﻏ ﯽﺟﺎﺣ ﻪﻳﺭﻗ,ﺩﺣﺍﻭﻟﺍﺩﺑﻋ ﺩﻳﻬﺷ ﺏﺗﮑﻣ,ﯽﭼﺭﺍ ﺕﺷﺩ,ﺯﺩﻧﮐ,1906191
2,1,1,ﻥﺎﻳﻭﺍﺩ ﻪﻳﺭﻗ,ﻩﺩﻧﻳﺎﭘ ﯽﺟﺎﺣ ﺩﺟﺳﻣ,ﯽﭼﺭﺍ ﺕﺷﺩ,ﺯﺩﻧﮐ,1906192
