district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat,closed
"Achin",15,06,"قریه",0615385,"Bandar Khola","Bandar Khola Jaame Mosque","Nangarhar",0,2,2,"Village",70.763745,34.069796,1
"Pasaband",05,23,"تعمیر",2305134,"Surkhak Village","Surkhak Village Mosque","Ghor",1,1,2,"Building",65.229995,33.605979,1
"Kushk (Rubat-E-Sangi)",07,32,"تعمیر",3207180,"Khwaja Sabz Posh","Khwaja Sabz Posh School","Herat",1,2,3,"Building",62.019112,34.976617,1
"Shah Joi",06,26,"قریه",2606071,"Zargan","Bagh Naso Mosque","Zabul",1,2,3,"Village",67.304001,32.698926,1
"Arghandab",05,26,"قریه",2605061,"Khwazangi","Moque","Zabul",1,2,3,"Village",66.963312,32.517357,1
"Shemel Zayi",10,26,"تعمیر",2610080,"Omran Villge","House","Zabul",1,2,3,"Building",67.609766,31.737290,1
"Shemel Zayi",10,26,"تعمیر",2610081,"Seen Zai","House","Zabul",1,2,3,"Building",67.743037,32.016407,1
"Adraskan",09,32,"تعمیر",3209480,"Dara Bast","Dara Bast Mosque","Herat",1,2,3,"Building",62.747193,33.562436,1
"Dawlat Shah",05,07,"تعمیر",0705136,"Kasheedor","Mosque","Laghman",1,2,3,"Building",70.078402,35.002724,1
"Dangam",12,15,"تعمیر",1512123,"Shokano","Mosque","Kunar",1,2,3,"Building",71.410734,35.039423,1
"Mizan",04,26,"قریه",2604057,"Pitab Jar Kana","Moque","Zabul",1,2,3,"Village",66.538375,32.251242,1
"Arghandab",05,26,"تعمیر",2605065,"Miran, Kotani","Moque","Zabul",1,2,3,"Building",66.715777,32.406744,1
"Arghandab",05,26,"قریه",2605066,"Karto Kariz","Moque","Zabul",1,2,3,"Village",67.152766,32.523648,1
"Naw Bahar",09,26,"قریه",2609075,"Omar Zai","Mosque","Zabul",1,2,3,"Village",67.464564,32.008499,1
"Naw Bahar",09,26,"تعمیر",2609076,"Lwar Magha, Shin Zai","House","Zabul",1,2,3,"Building",67.708100,32.201668,1
"Deh Bala",10,06,"قریه",0610324,"Jawdara","Jawdara Malak Sher Mohammad Hujra","Nangarhar",1,0,1,"Village",70.480050,34.088058,1
"Pachir Wagam",11,06,"قریه",0611302,"Du Aaba","Lowara Mena Mosque","Nangarhar",1,1,2,"Village",70.397260,34.066914,1
"Shah Joi",06,26,"قریه",2606067,"Surkhakan","Sorkhakan Madrasa","Zabul",1,2,3,"Village",67.308925,32.214727,1
"Shah Joi",06,26,"قریه",2606068,"Khaka","Khaka School","Zabul",1,2,3,"Village",67.385362,32.376187,1
"Mizan",04,26,"قریه",2604058,"Shikan Bakwan","Moque","Zabul",1,2,3,"Village",66.503352,32.237209,1
"Mizan",04,26,"قریه",2604059,"Sar Kali Village","Takhom School","Zabul",1,2,3,"Village",66.528128,32.143166,1
"Arghandab",05,26,"قریه",2605060,"China","Moque","Zabul",1,2,3,"Village",66.982750,32.451182,1
"Naw Bahar",09,26,"قریه",2609077,"Qala Sahak","Sahak Mosque","Zabul",1,2,3,"Village",67.528312,32.158662,1
"Shemel Zayi",10,26,"تعمیر",2610078,"Haidari","Mosque","Zabul",1,2,3,"Building",67.769642,32.069909,1
"Shemel Zayi",10,26,"تعمیر",2610079,"Jahangir","Mosque","Zabul",1,2,3,"Building",67.639390,32.034803,1
"Ghormach",07,31,"قریه",3107141,"Sharshar Village","Sharshar Village","Badghis",1,1,2,"Village",63.768473,35.570981,1
"Gulran",08,32,"قریه",3208218,"Chah Takhta","Chah Takhta Mosque","Herat",1,1,2,"Village",61.971754,35.368726,1
"Dasht-E-Archi",06,19,"تعمیر",1906184,"Zarghoon Village","Zarghoon School","Kunduz",2,2,4,"Building",69.184975,37.004419,1
"Char Dara",02,19,"قریه",1902207,"Baghz Qum Village","Baghz Qum Secondary School","Kunduz",1,1,2,"Village",68.629320,36.824248,1
"Char Sada",04,23,"قریه",2304068,"Chahar Qadoq","Chahar Qadoq Mosque","Ghor",2,1,3,"Village",65.047825,35.249977,1
"Gizab",03,24,"تعمیر",2403104,"Dahn Jangal Qakhor","Dahn Jangal Qakhor Mosque","Daykundi",1,1,2,"Building",65.993712,33.584425,1
"Gizab",03,24,"قریه",2403115,"Pato","Haji Baz Mohammad Mosque","Daykundi",1,1,2,"Village",66.061256,33.602706,1
"Kejran",09,24,"ولسوالی",2409066,"Sayed Abad","Sayed Abad Mosque","Daykundi",1,1,2,"District",65.445043,33.122198,1
"Shinkai",03,26,"تعمیر",2603032,"Spedar Village","Spedar Village Mosque","Zabul",0,2,2,"Building",67.226266,31.915148,1
"Arghandab",05,26,"تعمیر",2605019,"Landi Sardara","Sardara School","Zabul",1,1,2,"Building",67.050198,32.623744,1
"Shinkai",03,26,"قریه",2603054,"Bolan","Bolan Mosque","Zabul",1,2,3,"Village",66.937629,31.900986,1
"Shinkai",03,26,"قریه",2603055,"Roghani","Roghani Mosque","Zabul",1,2,3,"Village",67.407303,32.141382,1
"Arghandab",05,26,"تعمیر",2605062,"Kartash Hulia","Moque","Zabul",1,2,3,"Building",67.274787,32.624397,1
"Arghandab",05,26,"تعمیر",2605063,"Nik Nam","Clinic","Zabul",1,2,3,"Building",67.120188,32.633174,1
"Arghandab",05,26,"تعمیر",2605064,"Takto","Moque","Zabul",1,2,3,"Building",66.890350,32.399550,1
"Atghar",08,26,"قریه",2608072,"Khatnizai","Village Center","Zabul",1,2,3,"Village",67.227394,31.702750,1
"Atghar",08,26,"قریه",2608074,"Shamaron","Village Center","Zabul",1,2,3,"Village",67.517124,31.730504,1
"Shah Joi",06,26,"قریه",2606069,"Muqam","Muqam School","Zabul",1,2,3,"Village",67.494091,32.685122,1
"Arghandab",05,26,"تعمیر",2605016,"Akhtar Village","Akhtar Village School","Zabul",1,2,3,"Building",67.161649,32.666781,1
"Arghandab",05,26,"تعمیر",2605017,"Saigaz","Saigaz Mosque","Zabul",1,2,3,"Building",67.037176,32.555678,1
"Khakrez",07,27,"قریه",2707120,"Chinar","Manan Khan Private House","کندهار",1,1,2,"Village",65.480982,31.974652,1
"Maiwand",10,27,"قریه",2710133,"Azeem Khan Karez","Mullah Ibrahim School","کندهار",0,2,2,"Village",65.237314,31.521022,1
"Maiwand",10,27,"قریه",2710134,"Garmabak","Blagh Mosque","کندهار",1,1,2,"Village",65.058337,31.795971,1
"Shah Wali Kot",06,27,"قریه",2706096,"Khair Toot","Khair Toot Clinic","کندهار",0,2,2,"Village",65.927343,32.028749,1
"Khakrez",07,27,"قریه",2707117,"Tambeel","Tambeel School","کندهار",1,1,2,"Village",65.608562,32.172101,1
"Khakrez",07,27,"تعمیر",2707125,"Baghaka","Malak Abdul Khaliq Private House","کندهار",1,1,2,"Building",65.628889,32.003611,1
"Qush Tepa",05,28,"قریه",2805093,"Qosh Taba","Khatai Say Shor Qadoq","Jawzjan",1,1,2,"Village",65.305764,36.317514,1
"Khanaqa",03,28,"قریه",2803121,"Siyah Kamar Village","Siyah Kamar Mosque","Jawzjan",1,1,2,"Village",66.225400,36.585346,1
"Pashtun Kot",02,29,"قریه",2902019,"Khwaja Namosi","Meng Darakht, Khwaja Namosi","Faryab",1,1,2,"Village",64.582408,36.077741,1
"Almar",04,29,"قریه",2904069,"Khwaja Gawhar Village","Khwaja Gawhar","Faryab",2,2,4,"Village",64.281253,35.920146,1
"Qaisar",07,29,"تعمیر",2907087,"Khwaja Kanti","Khwaja Kanti Mosque","Faryab",1,2,3,"Building",64.023003,35.600578,1
"Qaisar",07,29,"تعمیر",2907098,"As-Haab Kahf Village","As-Haab Kahf Mosque","Faryab",1,1,2,"Building",63.938753,35.726187,1
"Pashtun Kot",02,29,"قریه",2902020,"Khwaja Namosi","Qasaba Qala School And Mosque","Faryab",1,1,2,"Village",64.556692,36.034638,1
"Qaisar",07,29,"قریه",2907080,"Chehlgazai Village","Khwaja Aspalan Mosque","Faryab",3,2,5,"Village",64.018737,35.748280,1
"Ghormach",07,31,"قریه",3107129,"Pai-E-Makhto","Pai-E-Makhto Mosque","Badghis",1,1,2,"Village",63.822107,35.661882,1
"Ghormach",07,31,"قریه",3107130,"Kariz-E-Dewana","Kariz-E- Dwana Village Mosque","Badghis",1,1,2,"Village",63.841134,35.636963,1
"Ghormach",07,31,"قریه",3107138,"Sharshar-E- Abdurrahman","Sharshar-E- Abdurahman Village","Badghis",1,1,2,"Village",63.767465,35.566479,1
"Kushk (Rubat-E-Sangi)",07,32,"تعمیر",3207444,"Chahe  Gulboy","Nsp Building","Herat",1,1,2,"Building",62.123065,35.223304,1
"Kushk-E-Kuhna",10,32,"تعمیر",3210408,"Khum Kaj Village","Khum Kaj Village Open Space","Herat",1,4,5,"Building",62.534331,34.869976,1
"Kushk-E-Kuhna",10,32,"تعمیر",3210413,"Khwaja Chakaab","Khwaja Chakaab Boys School","Herat",1,2,3,"Building",62.609205,34.944600,1
"Ghoryan",11,32,"قریه",3211260,"Markaz-E-Ganak Village","Ganak Mosque","Herat",1,1,2,"Village",61.404441,34.097104,1
"Obe",12,32,"قریه",3212469,"Jangal Baz","Jangal Baz","Herat",1,1,2,"Village",63.293551,34.461895,1
"Shindand",14,32,"تعمیر",3214314,"Abstan","Haji Mullah Sarwar Mosque","Herat",1,1,2,"Building",61.952917,33.326902,1
"Shindand",14,32,"تعمیر",3214315,"Markaz-E-Okal","Markaz-E-Okal Mosque","Herat",2,2,4,"Building",61.922898,33.289023,1
"Shindand",14,32,"تعمیر",3214319,"Zeyarat-E-Okal","Zeyarat-E-Okal Mosqu","Herat",1,1,2,"Building",61.913207,33.307397,1
"Rashidan",09,11,"تعمیر",1109092,"Hassan Khan Village","Hassan Khan Village Upper Mosque","Ghazni",1,2,3,"Building",68.211438,33.708419,1
"Bala Buluk",06,33,"قریه",3306146,"Sharga","Sharga Mosque","Farah",1,1,2,"Village",62.755458,32.580521,1
"Pushtrud",02,33,"قریه",3302235,"Nahr-E-Dasht","Nahr-E-Dasht Mosque","Farah",1,1,2,"Village",62.138677,32.555415,1
"Bakwa",08,33,"قریه",3308115,"Ghazi Abad","Ghazi Abad Mosque","Farah",1,1,2,"Village",63.020500,32.201541,1
"Shindand",14,32,"قریه",3214348,"Karizk Duowm","Shand Mosque","Herat",1,1,2,"Village",61.975685,33.286340,1
"Kushk-E-Kuhna",10,32,"تعمیر",3210420,"Dara -E-Jabal","Khosh Ast School","Herat",2,2,4,"Building",62.678585,34.724575,1
"Adraskan",09,32,"قریه",3209296,"Pozaha-E- Seya Village","Pozaha-E- Seya Mosque","Herat",2,1,3,"Village",61.077804,33.715218,1
"Gulran",08,32,"قریه",3208201,"Chahe Aab Garmi","Chahe Aab Garmi Mosque","Herat",1,2,3,"Village",61.550750,35.186470,1
"Chaparhar",04,06,"قریه",0604113,"Salozai","Salozai School","Nangarhar",1,1,2,"Village",70.343874,34.312749,1
"Chaparhar",04,06,"قریه",0604114,"Pateray Village","Pateray Village Maidan","Nangarhar",1,1,2,"Village",70.323333,34.300833,1
"Kot",13,06,"تعمیر",0613337,"Laghorjay Village","Poorshah Khel Primary School","Nangarhar",0,2,2,"Building",70.554214,34.122923,1
"Khugyani",08,06,"قریه",0608293,"Soor Daag","Soor Daag High School","Nangarhar",1,2,3,"Village",70.253919,34.260880,1
"Khugyani",08,06,"قریه",0608294,"Zaawa","Zaawa School","Nangarhar",1,2,3,"Village",70.120307,34.255761,1
"Bati Kot",09,06,"قریه",0609454,"Damaan Village","Damaan Mosque","Nangarhar",1,2,3,"Village",70.750306,34.275391,1
"Achin",15,06,"قریه",0615384,"Bandar Khola","Bandar Khola Haji Younus Hujra","Nangarhar",2,0,2,"Village",70.765235,34.071944,1
"Achin",15,06,"قریه",0615372,"Zaree Khola","Zaree Khola Mosque","Nangarhar",0,2,2,"Village",70.757778,34.034449,1
"Sher Zad",19,06,"قریه",0619239,"Khada Khel","Khada Khel High School","Nangarhar",0,3,3,"Village",70.045830,34.206032,1
"Hesarak",21,06,"قریه",0621251,"Siya Aab Village","Siya Aab","Nangarhar",2,0,2,"Village",69.848647,34.306091,1
"Hesarak",21,06,"قریه",0621274,"Naawi Teega","Naawi Teega","Nangarhar",1,1,2,"Village",69.855561,34.305831,1
"Hesarak",21,06,"قریه",0621275,"Naawar","Naawar Primary School","Nangarhar",1,1,2,"Village",69.801929,34.274018,1
"Andar",07,11,"تعمیر",1107217,"Joy Charhar Village","Joy Chahar Village Mosque","Ghazni",0,2,2,"Building",68.546301,33.269394,1
"Andar",07,11,"قریه",1107218,"Joy Charhar Village","Ata Mohammad Mosque","Ghazni",2,0,2,"Village",68.539670,33.256421,1
"Zanakhan",08,11,"قریه",1108077,"Kala-E-Sabzi","Kala-E-Sabzi Mosque","Ghazni",0,2,2,"Village",68.717265,33.760946,1
"Qara Bagh",11,11,"تعمیر",1111138,"Sheer Village","Akhund Khel Sheer Mosque","Ghazni",0,3,3,"Building",67.956672,33.127087,1
"Giro",12,11,"قریه",1112208,"Qala-E-Shukur","Qala-E-Shukoor Secondary School","Ghazni",0,3,3,"Village",68.205063,33.018212,1
"Giro",12,11,"قریه",1112201,"Azamat Village","Azamat Village Mosque","Ghazni",2,0,2,"Village",68.268124,33.080606,1
"Duab",05,16,"قریه",1605023,"Nilab Poka","Nelab Village School","Nooristan",1,1,2,"Village",70.286078,35.228072,1
"Mandol",07,16,"قریه",1607051,"Lenar Village","Lenar Village  School","Nooristan",1,1,2,"Village",70.143441,35.356082,1
"Mandol",07,16,"قریه",1607052,"Gadwal Village","Gadwal Village School","Nooristan",1,1,2,"Village",70.218755,35.340018,1
"Gizab",03,24,"قریه",2403111,"Barmani","Haji Abdul Kareem Mosque","Daykundi",1,1,2,"Village",66.049835,33.506416,1
"Gizab",03,24,"تعمیر",2403112,"Shiran","Shiran Mosque","Daykundi",1,1,2,"Building",66.296005,33.493169,1
"Darzab",11,28,"تعمیر",2811104,"Qarogh Satoon","Qarogh Satoon School","Jawzjan",1,1,2,"Building",65.246533,36.057837,1
"Ghormach",07,31,"قریه",3107137,"Fateh Khan","Fateh Khan Village Mosque","Badghis",1,1,2,"Village",63.629674,35.723527,1
"Achin",15,06,"قریه",0615360,"Maktaba Village","Pekhe Primary School","Nangarhar",0,2,2,"Village",70.657577,34.056647,1
"Achin",15,06,"قریه",0615361,"Pekha Village","Pekhe Village School","Nangarhar",3,0,3,"Village",70.657566,34.056129,1
"Nazyan",20,06,"قریه",0620397,"Lalma Baroo Khola","Lalma Mosque","Nangarhar",1,2,3,"Village",70.815043,34.027237,1
"Nazyan",20,06,"قریه",0620399,"Lal Mandayee","Lal Mandayee Mosque","Nangarhar",1,2,3,"Village",70.798643,34.034875,1
"Gulran",08,32,"قریه",3208226,"Chahalakhi Village","Chahalakhi Mosqu","Herat",1,1,2,"Village",61.486306,35.170892,1
"Baraki Barak",02,05,"تعمیر",0502029,"Tagab","Tagab Secondary School","Logar",1,1,2,"Building",68.855387,33.984245,1
"Chaparhar",04,06,"تعمیر",0604102,"Hedya Khel","Gratak School","Nangarhar",1,2,3,"Building",70.345437,34.244533,1
"Chaparhar",04,06,"تعمیر",0604119,"Khalifa Khel","Kandi Bagh School","Nangarhar",2,1,3,"Building",70.383818,34.279793,1
"Bati Kot",09,06,"تعمیر",0609441,"Farm 4","Jaame Mosque","Nangarhar",1,1,2,"Building",70.709854,34.259101,1
"Deh Bala",10,06,"قریه",0610320,"Qala Village","Qala Village School","Nangarhar",2,1,3,"Village",70.479958,34.189415,1
"Deh Bala",10,06,"قریه",0610321,"Jawdara","Jawdara Jaame Mosque","Nangarhar",0,2,2,"Village",70.479151,34.087260,1
"Deh Bala",10,06,"قریه",0610326,"Awghaz Village","Awghaz High School","Nangarhar",2,2,4,"Village",70.454039,34.058524,1
"Pachir Wagam",11,06,"تعمیر",0611309,"Koz Sabr","Koz Sabr Mosque","Nangarhar",0,3,3,"Building",70.294509,34.218485,1
"Kot",13,06,"قریه",0613340,"Bandok","Bandok  Mosque","Nangarhar",1,2,3,"Village",70.568629,34.125319,1
"Achin",15,06,"قریه",0615364,"Bandar Kharkaani Village","Bandar Kharkaani Graveyard","Nangarhar",0,2,2,"Village",70.754302,34.037176,1
"Achin",15,06,"قریه",0615376,"Landi Momand Village","Landi Momand Mosque","Nangarhar",0,2,2,"Village",70.567780,34.035278,1
"Sher Zad",19,06,"قریه",0619247,"Gandomak","Gandomak School","Nangarhar",0,3,3,"Village",70.019395,34.289222,1
"Sher Zad",19,06,"قریه",0619248,"Gandomak","Gandomak Open Space","Nangarhar",2,0,2,"Village",70.020518,34.288161,1
"Hesarak",21,06,"قریه",0621266,"Baawlay","Bolee Zhamai Mosque","Nangarhar",1,0,1,"Village",69.857207,34.369868,1
"Andar",07,11,"تعمیر",1107227,"Bakhshi Village","Bakhshi Village Mosque","Ghazni",0,4,4,"Building",68.426007,33.380057,1
"Andar",07,11,"تعمیر",1107228,"Bakhshi Village","Bakhshi Village School","Ghazni",3,0,3,"Building",68.440469,33.381075,1
"Giro",12,11,"قریه",1112211,"Zygi Village","Zygi Village School","Ghazni",2,0,2,"Village",68.241239,32.955701,1
"Ajristan",18,11,"تعمیر",1118294,"Chaghmaq Village","Chaghmaq Village School","Ghazni",2,4,6,"Building",66.923297,33.350093,1
"Mara Wara",02,15,"قریه",1502045,"Dary Dam","Dary Dam Village Mosque","Kunar",2,2,4,"Village",71.215828,34.870828,1
"Gizab",03,24,"ولسوالی",2403119,"Khwaja Abdul Waheed","Khwaja Abdul Waheed Mosque","Daykundi",1,1,2,"District",66.252786,33.429390,1
"Achin",15,06,"قریه",0615374,"Wach Kot","Ilyas Baba School","Nangarhar",1,2,3,"Village",70.577574,34.077687,1
"Khwaja Dukoh",02,28,"قریه",2802113,"Majeed Qadoq","Majeed Qadoq Mosque","Jawzjan",1,1,2,"Village",65.662820,36.816010,1
"Qush Tepa",05,28,"قریه",2805095,"Doband Village","Doband Village Kochi Center","Jawzjan",1,1,2,"Village",65.394444,36.087222,1
"Gizab",03,24,"قریه",2403118,"Khwaja Mula Mohammadzai","Khwaja Mula Mohammadzai Mosque","Daykundi",1,1,2,"Village",66.388505,33.426985,1
"Gizab",03,24,"قریه",2403121,"Tala Deh Khak","Tala Deh Khak Mosque","Daykundi",1,1,2,"Village",66.676085,33.415142,1
"Gizab",03,24,"قریه",2403122,"Mohammad Khwaja","Mohammad Khwaja Mosque","Daykundi",1,1,2,"Village",66.385855,33.426552,1
"Kejran",09,24,"تعمیر",2409068,"Bala Dasht","Bala Dasht Mosque","Daykundi",1,1,2,"Building",65.574517,33.152283,1
"Atghar",08,26,"تعمیر",2608034,"Angori Mosque Village","Tahir Private House","Zabul",1,2,3,"Building",67.406741,31.754605,1
"Maiwand",10,27,"قریه",2710132,"Shameer Qala","Qala Shameer Mosque","کندهار",1,1,2,"Village",65.159568,31.520585,1
"Pashtun Kot",02,29,"قریه",2902050,"Ashor Baba","Ashor Baba School","Faryab",1,1,2,"Village",64.639588,35.928321,1
"Shirin Tagab",06,29,"قریه",2906144,"Barakzai Village","Barakzai","Faryab",4,3,7,"Village",64.753924,36.318515,1
"Qaisar",07,29,"قریه",2907108,"Khel Rostum Khan Village","Khel Rostum Khan Mosque","Faryab",1,2,3,"Village",63.955843,35.680929,1
"Dawlat Abad",09,29,"قریه",2909161,"Shor Darya","Taheri School","Faryab",1,1,2,"Village",64.844805,36.459353,1
"Ghormach",07,31,"قریه",3107126,"Totak","Totak Village Mosque","Badghis",1,1,2,"Village",63.925884,35.673411,1
"Ghormach",07,31,"قریه",3107127,"Teznawa","Teznawa Mosque","Badghis",1,1,2,"Village",63.966547,35.570520,1
"Ghormach",07,31,"قریه",3107131,"Khatoon","Khatoon Village School","Badghis",1,2,3,"Village",63.779316,35.644242,1
"Ghormach",07,31,"قریه",3107132,"Jar-E-Siah","Jar-E-Siah Village School","Badghis",1,1,2,"Village",63.871412,35.553818,1
"Kushk (Rubat-E-Sangi)",07,32,"قریه",3207443,"Shar Khalil","Shar Khalil School","Herat",1,1,2,"Village",62.296249,35.057763,1
"Gulran",08,32,"قریه",3208219,"Sia Khoal","Seya Khoal Mosque","Herat",1,1,2,"Village",61.953231,35.322496,1
"Shindand",14,32,"تعمیر",3214316,"Mandil Village","Mandil Mosque","Herat",2,2,4,"Building",61.861432,33.277528,1
"Shindand",14,32,"تعمیر",3214317,"Qala-E-Paheen Okil","Qala-E- Paheem Okil Mosque","Herat",1,1,2,"Building",61.928985,33.267980,1
"Shindand",14,32,"تعمیر",3214321,"Sangbar","Sangbar Mosque","Herat",2,1,3,"Building",62.051456,33.457881,1
"Bakwa",08,33,"قریه",3308110,"Mulla Nawab Neka","Mulla Nawab Neka Primary School","Farah",1,1,2,"Village",63.103252,32.201915,1
"Surkh Rud",03,06,"قریه",0603095,"Bark Karak","Private House","Nangarhar",1,2,3,"Village",70.106968,34.376584,1
"Chaparhar",04,06,"تعمیر",0604122,"Sholana","Bando School","Nangarhar",0,2,2,"Building",70.362900,34.266143,1
"Chaparhar",04,06,"قریه",0604123,"Sholana","Sholana Mosque","Nangarhar",2,0,2,"Village",70.361995,34.266967,1
"Khugyani",08,06,"قریه",0608298,"Tatang","Tatang Cilnic","Nangarhar",3,0,3,"Village",70.044654,34.347646,1
"Khugyani",08,06,"قریه",0608299,"Banda Village","Torghar","Nangarhar",1,2,3,"Village",70.175153,34.289330,1
"Bati Kot",09,06,"قریه",0609458,"Farm 2","Spagano Konj","Nangarhar",1,1,2,"Village",70.765360,34.278372,1
"Pachir Wagam",11,06,"تعمیر",0611303,"Garekhel","Garekhel School","Nangarhar",1,2,3,"Building",70.236418,34.137001,1
"Pachir Wagam",11,06,"تعمیر",0611314,"Paas Pacheer","Pacheer Primary School","Nangarhar",2,0,2,"Building",70.295945,34.113796,1
"Achin",15,06,"قریه",0615354,"Shokany","Shokany Primary School","Nangarhar",2,0,2,"Village",70.577851,34.041097,1
"Achin",15,06,"قریه",0615379,"Morgai","Mast Baba School","Nangarhar",2,0,2,"Village",70.602954,34.059577,1
"Alingar",04,07,"قریه",0704061,"Salab Olya","Salab Ulya Village Maidan","Laghman",1,2,3,"Village",70.276688,34.853354,1
"Andar",07,11,"تعمیر",1107222,"Mazo Ulya Village","Mazo Ulya Mosque","Ghazni",0,3,3,"Building",68.286372,33.293128,1
"Andar",07,11,"تعمیر",1107233,"Yaqoob Village","Yaqoob Village Mosque","Ghazni",0,3,3,"Building",68.394638,33.377100,1
"Ajristan",18,11,"قریه",1118289,"Dongha Village","Dongha Village Mosque","Ghazni",2,3,5,"Village",67.338508,33.591573,1
"Wama",03,16,"قریه",1603041,"Kordar Village","Kordar Village School","Nooristan",3,4,7,"Village",70.656746,35.003969,1
"Gizab",03,24,"تعمیر",2403105,"Tamzan","Hazar Deh Tamzan Mosque","Daykundi",1,1,2,"Building",66.084252,33.649635,1
"Miyanishin",13,27,"قریه",2713260,"Ghaleeng","Ghaleeng Mosque","کندهار",0,2,2,"Village",66.240995,32.393741,1
"Almar",04,29,"قریه",2904079,"Hotaki Village","Hotaki Mosque","Faryab",1,1,2,"Village",64.378757,35.899459,1
"Qaisar",07,29,"قریه",2907097,"Chehl Gazai","Yambalaq Mosque","Faryab",1,1,2,"Village",64.018103,35.744578,1
"Ghormach",07,31,"قریه",3107142,"Nagharah Khan Village","Nagharah Khan Village","Badghis",1,2,3,"Village",63.865787,35.729126,1
"Bala Buluk",06,33,"قریه",3306137,"Orya","Orya Mosque","Farah",1,1,2,"Village",62.719467,32.792384,1
"Baraki Barak",02,05,"تعمیر",0502032,"Rostam Khel","Rostam Khel Secondary School","Logar",1,2,3,"Building",68.959524,33.908559,1
"Khugyani",08,06,"قریه",0608289,"Dargay","Dargay Primary School","Nangarhar",1,2,3,"Village",70.114979,34.252281,1
"Khugyani",08,06,"قریه",0608300,"Wazeer Tangay","Shekhano Kaley Mosque","Nangarhar",1,1,2,"Village",70.045974,34.274161,1
"Bati Kot",09,06,"قریه",0609461,"Speen Khowar","Speen Khowar Mosque","Nangarhar",1,1,2,"Village",70.772500,34.262500,1
