Province,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Valid Votes
لباک,14408,389584,64811,329,904,59107,248220,3530,3962,838,1466,787159
تاره,3170,301364,56254,474,803,67892,54618,2573,6129,1051,851,495179
خلب,2073,238582,32060,534,909,4512,109694,2196,1597,1028,904,394089
ینزغ,6183,194264,60784,161,418,22540,68328,1763,5250,469,595,360755
راهرگنن,16408,63689,25247,187,670,24041,200409,1032,3433,536,876,336528
راخت,4494,159375,16049,600,1524,12063,121100,1832,649,1004,1003,319693
روغ,2591,180446,27111,73,183,48565,39698,959,3520,120,307,303573
ناشخدب,5864,191260,28044,175,406,25537,42548,999,212,332,472,295849
بایراف,605,77633,6508,179,1053,4277,173225,708,1573,419,381,266561
نلاغب,7560,152560,28380,213,299,10033,51953,904,1917,267,374,254460
راهدنک,6981,26500,134720,646,2084,4175,34698,1373,40004,1708,1215,254104
ایتکپ,25545,13610,18913,64,381,34847,157826,737,1495,226,261,253905
زدنک,5262,100413,11223,605,807,12272,80893,1252,1423,663,671,215484
اکیتکپ,9841,19097,26667,137,871,5630,118089,392,1196,548,167,182635
یدنکیاد,270,128713,19910,212,286,794,19113,1026,1299,318,370,172311
نایماب,359,113324,20720,272,391,7695,18427,1007,4735,303,561,167794
ناجزوج,736,29375,10029,624,1236,3020,101985,846,557,964,760,150132
ناورپ,7268,107478,15815,78,99,9191,8395,1001,388,124,165,150002
لپرس,826,74711,9113,268,569,3472,57097,672,1933,394,373,149428
ناگنمس,899,86845,10822,325,580,3612,37632,991,309,590,482,143087
سیغداب,3970,86620,6983,149,224,16657,12577,671,479,242,340,128912
تسوخ,13479,4040,8615,65,233,2648,83691,145,200,189,265,113570
اهرنک,4256,13257,11910,89,402,7416,69545,409,210,297,383,108174
دنمله,4308,17905,28442,307,711,3980,34110,762,13447,878,604,105454
کدرو,5010,36253,16692,553,285,24559,15064,592,1147,126,369,100650
نامغل,16221,8495,7634,47,161,8096,40673,134,320,346,74,82201
اسیپاک,3363,52544,3745,21,41,3825,2745,204,108,34,136,66766
ناتسرون,3809,23234,7585,4,2,17858,9001,48,158,58,36,61793
هارف,908,18029,7474,157,264,6016,22708,444,919,179,231,57329
زورمین,930,9674,14109,247,494,4550,15562,437,777,387,285,47452
ریشجنپ,115,37925,4118,19,10,946,166,141,21,15,15,43491
رگول,876,6169,798,29,37,3721,20953,297,183,123,76,33262
ناگزرا,1205,5317,5332,132,226,637,6022,317,3335,318,180,23021
لباز,2034,3856,4380,22,92,1023,7782,291,751,92,258,20581